                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6487,                 4.1195,                0.98752,                0.00039,                0.01822,                0.00682,                0.00273,                 1.4269,                 4.5545,                0.93241,               0.070714,               0.003254,               0.003254
                      1,                 1.4709,                 2.8664,                0.95293,                0.00992,                 0.9712,                0.32835,                 0.1671,                 1.6843,                 3.4237,                0.99099,               0.040388,              0.0062612,              0.0062612
                      2,                 1.4107,                 2.6478,                0.94251,                 0.4563,                0.39968,                0.38867,                0.23878,                 1.3075,                 2.4162,                0.93699,              0.0097321,              0.0089385,              0.0089385
                      3,                 1.4012,                 2.4201,                0.94559,                0.47838,                0.62816,                0.49193,                0.30785,                 1.2712,                 2.0953,                0.93028,               0.008515,               0.008515,               0.008515
                      4,                 1.3102,                 2.0663,                0.92447,                0.62001,                 0.6554,                0.66973,                0.44187,                 1.2262,                 1.7817,                 0.9144,               0.008515,               0.008515,               0.008515
                      5,                  1.174,                 1.8219,                0.89526,                0.64705,                0.76133,                 0.7789,                0.49881,                 1.1899,                 1.5954,                0.91838,                0.00802,                0.00802,                0.00802
                      6,                 1.0807,                 1.6841,                0.89369,                0.78709,                0.76571,                0.84195,                 0.6777,                 0.7691,                 1.2674,                0.86194,               0.007525,               0.007525,               0.007525
                      7,                 1.0643,                 1.4579,                0.88699,                0.63203,                0.83356,                0.77268,                0.60837,                0.82793,                 1.3931,                0.86325,                0.00703,                0.00703,                0.00703
                      8,                0.97717,                 1.2976,                  0.871,                0.87086,                0.87076,                 0.9146,                0.74875,                0.73049,                 0.9914,                0.84258,               0.006535,               0.006535,               0.006535
                      9,                0.89524,                 1.2165,                0.86124,                0.88551,                0.87861,                0.93737,                0.78524,                0.65464,                0.90868,                0.83644,                0.00604,                0.00604,                0.00604
                     10,                0.76961,                 1.1887,                0.85662,                0.95816,                 0.9018,                0.94721,                0.78393,                0.69246,                0.87298,                0.83395,               0.005545,               0.005545,               0.005545
                     11,                0.76206,                 1.0468,                0.84215,                0.95985,                0.89491,                0.95003,                0.81069,                0.62887,                0.80855,                0.82962,                0.00505,                0.00505,                0.00505
                     12,                0.69512,                 1.0037,                0.84028,                0.93155,                 0.9062,                0.94696,                0.82484,                0.54522,                0.77536,                0.82133,               0.004555,               0.004555,               0.004555
                     13,                0.64882,                0.92877,                0.83804,                0.95473,                0.90282,                0.95304,                 0.7971,                0.67849,                0.75347,                 0.8372,                0.00406,                0.00406,                0.00406
                     14,                0.61998,                0.88827,                0.83556,                0.96032,                0.91021,                0.95292,                0.83433,                 0.5454,                0.68952,                0.82285,               0.003565,               0.003565,               0.003565
                     15,                0.58065,                0.85923,                0.81761,                0.97061,                0.91452,                0.95889,                0.85693,                0.47283,                0.64659,                0.81452,                0.00307,                0.00307,                0.00307
                     16,                0.54385,                0.81499,                0.82216,                0.96024,                0.91456,                0.95905,                0.86513,                0.45145,                0.62628,                0.81484,               0.002575,               0.002575,               0.002575
                     17,                0.51004,                0.78526,                0.81415,                0.97127,                0.91529,                 0.9593,                0.87909,                0.41457,                0.59505,                 0.8097,                0.00208,                0.00208,                0.00208
                     18,                0.48464,                0.75461,                0.81454,                 0.9692,                 0.9156,                0.96138,                0.86663,                0.45781,                0.60944,                0.81048,               0.001585,               0.001585,               0.001585
                     19,                0.44813,                 0.7258,                0.81443,                0.96014,                0.92623,                   0.96,                0.88563,                0.39941,                0.57483,                0.80742,                0.00109,                0.00109,                0.00109
